Node,Check,Kanton,PLZ,Ort,Gebiet,Vermehrungstyp,Herkunft,Pflanzjahr,Lat-WGS84,Lon-WGS84,CHY-LV95,CHX-LV95,BHU,BHD,Datum,Hauptinfo,SEBA,Erhaltungs-Plantage_Biel_Nr,DNA_Probe,Fruechte,Verluste_Erklaerung,Reiser,Bemerkung
11739562963,ja,BL,4411,Seltisberg,Leime,planted,,,47.455498,7.71208,2620622,1256115,7,2,Maerz 2024,"Tanner Karl-Martin, Dick Martin, Rudin Ernst",,,,,,,
8493792776,ja,BL,4411,Seltisberg,Rebenweg,planted,,,47.4593061,7.7246866,2621571,1256542,1,0.5,Juni 2021,"Tanner Karl-Martin, Dick Martin ",,,,,"abgestorben, Stockausschlag",,
11358749136,ja,BL,4450,Sissach,Alpbad-West,planted,,2017,47.479831,7.8022963,2627412,1258848,9,3,November 2023,"Wernli Thomas, Dick Martin",,,,,Sossenheimer,,
8688430446,ja,BL,4450,Sissach,Ebenrain,planted,,,47.4619327,7.8048353,2627613,1256858,54,17,Mai 2021,Spahr Ernst ,,,,,,,
11685782038,ja,BL,4450,Sissach,Isleten-Ost,seed,6049833637,2024,47.47868,7.82362,2629020,1258728,3,1,Februar 2024,"Ineichen Hannes, Dick Martin",,,,,,,"Pflanzung 2024, Same von Liestal Stächpalmehegli  - Hoehe: 40cm Feb. 2024, 90cm Sep. 2024"
11685760890,ja,BL,4450,Sissach,Isleten-West,seed,6614870445,2024,47.47868,7.82349,2629010,1258728,3,1,Februar 2024,"Ineichen Hannes, Dick Martin",,,,,,,"Pflanzung 2024, Same von Arlesheim Chilchholz Gipfel Mitte   - Hoehe: 40cm Feb. 2024, 80cm Sep. 2024"
8707261450,ja,BL,4450,Sissach,KulmackerwegA1,planted,,,47.460995,7.8076593,2627826,1256756,31,10,Mai 2021,Chrétien Urs ,,,,,,,
8707240081,ja,BL,4450,Sissach,KulmackerwegA2,planted,,,47.4611621,7.8076769,2627828,1256774,63,20,Mai 2021,Chrétien Urs ,,,,,,,
8691646569,ja,BL,4450,Sissach,KulmackerwegB,planted,,1991,47.4611034,7.8070318,2627779,1256767,84,27,Mai 2021,Spahr Ernst,,,,,,,Pflanzung 1991
9349601934,ja,BL,4450,Sissach,Limperg-EbeneNord,graft,6001338660,2021,47.4761768,7.7884514,2626370,1258437,3,1,Dez 2021,"Dick Martin, Spahr Ernst ",,,,,,,Reis von Sissach Limperg Ost - Hoehe: 55cm Dez 2021 / 65cm Nov. 2022 / 115cm Okt. 2023 / 140cm Jun. 2024
